book,author,country,region
Here,"McGuire, Richard",USA,
The Vanishing Half,"Bennett, Brit",USA,
The Housekeeper and the Professor,"Ogawa, Yōko",Japan,
Jill Bernard's Small Cute Book of Improv,"Bernard, Jill",USA,
"A Prayer for the Crown-Shy (Monk & Robot, #2)","Chambers, Becky",USA,
Story Of Your Life,"Chiang, Ted",China,
The Anthropologists,"Savas, Aysegül",Turkey,
The Aunt Who Wouldn't Die,"Mukhopadhyay, Shirshendu",India,West Bengal
The Ministry of Time,"Bradley, Kaliane",UK,
Convergence Problems,"Talabi, Wole",Nigeria,
Project Hail Mary,"Weir, Andy",USA,
Unaccustomed Earth,"Lahiri, Jhumpa",India,West Bengal
Yellowface,"Kuang, R.F.",China,
Beauty Is a Wound,"Kurniawan, Eka",Indonesia,
Rumours of Spring: A Girlhood in Kashmir,"Bashir, Farah",India,Kashmir
"Kim Jiyoung, Born 1982","Cho, Nam-Joo",South Korea,
Counterattacks at Thirty,"Sohn, Won-Pyung",South Korea,
I'm a Fan,"Patel, Sheena",India,Gujarat
The Taste of Words,"Mir, Raza",Pakistan,
If Cats Disappeared from the World,"Kawamura, Genki",Japan,
I'm Waiting for You and Other Stories,"Kim, Bo-young",South Korea,
Nearly All the Men in Lagos Are Mad,"Kuku, Damilare",Nigeria,
How to Love,"Norris, Alex",UK,
Tell Me How It Ends,"Luiselli, Valeria",Mexico,
Ayiti,"Gay, Roxane",Haiti,
The House on Mango Street,"Cisneros, Sandra",Mexico,
Quesadillas,"Villalobos, Juan Pablo",Mexico,
A Psalm for the Wild-Built,"Chambers, Becky",USA,
The Prophet,"Gibran, Kahlil",Lebanon,
The Book of Form and Emptiness,"Ozeki, Ruth",Japan,
"Happy Stories, Mostly","Pasaribu, Norman Erikson",Indonesia,
Lizard,"Yoshimoto, Banana",Japan,
Dead-End Memories,"Yoshimoto, Banana",Japan,
Spirit Nights,"Kire, Easterine",India,Nagaland
Out There,"Folk, Kate",USA,
Life Ceremony,"Murata, Sayaka",Japan,
Teen Couple Have Fun Outdoors,"Jayan, Aravind",India,Kerala
"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle",USA,
Bliss Montage,"Ma, Ling",China,
Ghachar Ghochar,"Shanbhag, Vivek",India,Karnataka
The Education of Yuri,"Pinto, Jerry",India,Goa/Mumbai
How to Live Safely in a Science Fictional Universe,"Yu, Charles",Taiwan,
Dreamers,"Poonam, Snigdha",India,
Laburnum For My Head,"Ao, Temsula",India,Nagaland
Heads of the Colored People,"Thompson-Spires, Nafissa",USA,
The Melancholy Death of Oyster Boy,"Burton, Tim",USA,
There's No Such Thing as an Easy Job,"Tsumura, Kikuko",Japan,
Who am I?,"Bunting, Philip",Australia,
A Book of Surrealist Games,"Brotchie, Alastair",UK,
Breasts and Eggs,"Kawakami, Mieko",Japan,
Several People Are Typing,"Kasulke, Calvin",USA,
